Dad Jokes,Knock-Knock Jokes,One-Liner Jokes,Corny Jokes,Puns,Riddles,Animal Jokes,Observational Jokes
I'm afraid for the calendar. Its days are numbered.,"Knock knock.
Who's there?
Lettuce.
Lettuce who?
Lettuce in, it's freezing out here!",I told my wife she was drawing her eyebrows too high. She looked surprised.,Why don’t skeletons fight each other? They don’t have the guts.,I’m reading a book on anti-gravity. It’s impossible to put down.,What has to be broken before you can use it? An egg.,Why do cows have hooves instead of feet? Because they lactose.,Why do they call it 'rush hour' when nothing moves?
Why don't skeletons fight each other? They don't have the guts.,"Knock knock.
Who's there?
Atch.
Atch who?
Bless you!",I threw a boomerang a few years ago. I now live in constant fear.,"What did the ocean say to the beach? Nothing, it just waved.","I used to be a baker, but I couldn’t make enough dough.","I’m tall when I’m young, and I’m short when I’m old. What am I? A candle.",Why don’t seagulls fly over the bay? Because then they’d be bagels.,"Have you ever noticed how when you blow in a dog's face, he gets mad, but when you take him on a car ride, he sticks his head out the window?"
What do you call fake spaghetti? An impasta.,"Knock knock.
Who's there?
Cow says.
Cow says who?
Cow says mooooo!",Why don’t skeletons fight each other? They don’t have the guts.,Why don't some fish play piano? Because you can't tuna fish.,I'm a big fan of whiteboards. They're re-markable.,What is full of holes but still holds water? A sponge.,What do you call a fish with no eyes? Fsh.,"Why is it that your nose runs, but your feet smell?"
Why can't you give Elsa a balloon? Because she will let it go.,"Knock knock.
Who's there?
Boo.
Boo who?
Don’t cry, it’s just a joke!",Parallel lines have so much in common. It’s a shame they’ll never meet.,Why was the math book sad? It had too many problems.,"I used to be a shoe salesman, but I got the boot.","What can you break, even if you never pick it up or touch it? A promise.",Why did the cow jump over the moon? Because the farmer had cold hands.,Isn't it weird how the word 'phonetic' isn't spelled the way it sounds?
Why did the scarecrow win an award? Because he was outstanding in his field.,"Knock knock.
Who's there?
Owls say.
Owls say who?
Yes, they do!","I used to play piano by ear, but now I use my hands.",How does a cucumber become a pickle? It goes through a jarring experience.,"I’ve just written a song about tortillas. Well, it’s more of a rap.","What has one eye, but can’t see? A needle.",What do you get when you cross a snowman and a vampire? Frostbite.,Why is it called 'after dark' when it’s really after light?
I only know 25 letters of the alphabet. I don't know y.,"Knock knock.
Who's there?
Orange.
Orange who?
Orange you going to let me in?","I have a fear of speed bumps, but I’m slowly getting over it.",Why don’t crabs give to charity? Because they’re shellfish.,"The past, present, and future walked into a bar. It was tense.",What gets wet while drying? A towel.,Why are fish so smart? Because they live in schools.,Why do they call it 'taking a dump' when you’re actually leaving it?
Why did the math book look sad? Because it had too many problems.,"Knock knock.
Who's there?
Harry.
Harry who?
Harry up and answer the door!",Why don't scientists trust atoms? Because they make up everything.,What do you call fake spaghetti? An impasta.,The guy who invented the door knocker got a No-bell prize.,What goes up but never comes down? Your age.,What do you call a bear with no teeth? A gummy bear.,Why do they sterilize the needle for lethal injections?
How does a penguin build its house? Igloos it together.,"Knock knock.
Who's there?
Doris.
Doris who?
Doris locked, that’s why I’m knocking!",I told my wife she should embrace her mistakes. She gave me a hug.,Why did the scarecrow become a successful farmer? He was outstanding in his field.,"I was wondering why the ball was getting bigger, then it hit me.","The more of this there is, the less you see. What is it? Darkness.",What do you get when you cross an elephant with a rhino? Elephino (pronounced: “Hell if I know”).,"Isn't it odd that in order to stop Windows, you have to click on 'Start'?"
Did you hear about the cheese factory that exploded? There was nothing left but de-brie.,"Knock knock.
Who's there?
Lettuce.
Lettuce who?
Lettuce in, it's cold outside!","I told my computer I needed a break, and now it won't stop sending me Kit-Kats.",How does the moon cut its hair? Eclipse it.,"I was addicted to the hokey pokey, but I turned myself around.",What can travel around the world while staying in one spot? A stamp.,What do you call an alligator in a vest? An investigator.,Why do people tell you when they are speechless?
"Why do seagulls fly over the sea? Because if they flew over the bay, they'd be bagels.","Knock knock.
Who's there?
Olive.
Olive who?
Olive you and I miss you!",My wife told me to stop impersonating a flamingo. I had to put my foot down.,Why did the golfer bring two pairs of pants? In case he got a hole in one.,I don’t trust stairs because they’re always up to something.,What has keys but can’t open locks? A piano.,Why can’t you give Elsa a balloon? Because she will let it go.,"Why is it that when we talk to God, we’re praying, but when God talks to us, we’re schizophrenic?"
Why don't eggs tell jokes? They might crack up.,"Knock knock.
Who's there?
Nobel.
Nobel who?
Nobel...that’s why I knocked!",I'm reading a book on anti-gravity. It's impossible to put down!,I’m reading a book about anti-gravity. It’s impossible to put down!,I once got fired from a calendar factory. All I did was take a day off.,"What runs, but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps? A river.",Why don’t oysters share their pearls? Because they’re shellfish.,Ever wonder why the word ‘abbreviation’ is so long?
I'm reading a book about anti-gravity. It's impossible to put down.,"Knock knock.
Who's there?
Hawaii.
Hawaii who?
I'm good. Hawaii you?","I’m terrified of elevators, so I’m going to start taking steps to avoid them.",Why don’t eggs tell jokes? They might crack up.,Why don’t some fish play piano? Because you can’t tuna fish.,What can you hold in your left hand but not in your right? Your right elbow.,What do you call a sleeping bull? A bulldozer.,Why do we press harder on the remote control when we know the batteries are dead?
What do you call a factory that makes good products? A satisfactory.,"Knock knock.
Who's there?
Tank.
Tank who?
You're welcome!",Did you hear about the guy who invented Lifesavers? He made a mint.,Why did the tomato turn red? Because it saw the salad dressing.,The bicycle can’t stand by itself because it’s two-tired.,What has a heart that doesn’t beat? An artichoke.,Why did the chicken join a band? Because it had the drumsticks.,"Why is it that when we 'skate on thin ice,' we can 'get in hot water'?"
How do you organize a space party? You planet.,"Knock knock.
Who's there?
Isabel.
Isabel who?
Isabel not working? I had to knock!","I told my dog to play dead, and now he won’t stop acting.",How does a snowman get around? By riding an ‘icicle’!,"I used to be a baker, but I couldn't make enough bread.","I speak without a mouth and hear without ears. I have nobody, but I come alive with the wind. What am I? An echo.",Why did the fish blush? Because it saw the ocean's bottom.,Why does 'fat chance' and 'slim chance' mean the same thing?
Why don’t skeletons fight each other? They don’t have the guts.,"Knock knock.
Who's there?
Ice cream.
Ice cream who?
Ice cream every time I see you!",Why don’t eggs tell jokes? They might crack up.,Why can’t your nose be 12 inches long? Because then it would be a foot.,"I told a joke about chemistry, but I got no reaction.",What has many keys but can’t open a single lock? A piano.,How do bees get to school? On the school buzz.,Why do you park on a driveway and drive on a parkway?
I would avoid the sushi if I was you. It’s a little fishy.,"Knock knock.
Who's there?
Iva.
Iva who?
I’ve a sore hand from knocking!",What’s brown and sticky? A stick.,What do you call a pile of cats? A meow-tain.,I’m friends with all my furniture. We have a great couch-together.,What is always in front of you but can’t be seen? The future.,Why did the lion break up with his girlfriend? She was a cheetah.,Why do they call it a 'building' when it's already built?
Want to hear a joke about construction? I’m still working on it.,"Knock knock.
Who's there?
Alpaca.
Alpaca who?
Alpaca the suitcase, let’s go on vacation!",Why did the scarecrow win an award? He was outstanding in his field.,What kind of tree fits in your hand? A palm tree.,Did you hear about the guy who invented Lifesavers? He made a mint.,"I’m light as a feather, yet the strongest man can’t hold me for more than five minutes. What am I? Breath.",What do you call a dog magician? A labracadabrador.,Why is there no 'B' battery?
Why did the golfer bring two pairs of pants? In case he got a hole in one.,"Knock knock.
Who's there?
Annie.
Annie who?
Annie body home?","I used to be addicted to soap, but I’m clean now.",What do you call a dinosaur with an extensive vocabulary? A thesaurus.,A backwards poet writes inverse.,What has hands but can’t clap? A clock.,What do you call a group of musical whales? An orca-stra.,"Why does the sun lighten our hair, but darken our skin?"
"I used to play piano by ear, but now I use my hands.","Knock knock.
Who's there?
Dwayne.
Dwayne who?
Dwayne the bathtub, I’m drowning!",Why did the coffee file a police report? It got mugged.,Why don’t skeletons go to parties? Because they have no body to dance with.,The shovel was a ground-breaking invention.,"What has a head, a tail, but no body? A coin.",Why don’t cats play poker in the wild? Too many cheetahs.,Why do we call them 'apartments' when they’re all stuck together?
I'm on a seafood diet. I see food and I eat it.,"Knock knock.
Who's there?
Butter.
Butter who?
Butter let me in, or I’ll freeze!",How does a penguin build its house? Igloos it together.,"What did one hat say to the other? Stay here, I'm going on ahead.",I gave all my dead batteries away today. Free of charge.,"The more you take, the more you leave behind. What am I? Footsteps.",Why was the cat sitting on the computer? To keep an eye on the mouse.,How come you never hear father-in-law jokes?
"What did the ocean say to the shore? Nothing, it just waved.","Knock knock.
Who's there?
Yah.
Yah who?
No thanks, I prefer Google!","I have a few jokes about unemployed people, but none of them work.",What lights up a soccer stadium? A soccer match.,"I didn’t want to believe my dad was stealing from his job as a traffic cop, but when I got home all the signs were there.","What comes once in a minute, twice in a moment, but never in a thousand years? The letter M.",How do you stop a bull from charging? Cancel its credit card.,Isn’t it funny how we have times of day when it’s acceptable to drink coffee?
Why don’t crabs give to charity? Because they’re shellfish.,"Knock knock.
Who's there?
Figs.
Figs who?
Figs the doorbell, it’s broken!",Why don’t some couples go to the gym? Because some relationships don’t work out.,Why was the broom late? It swept in.,A boiled egg in the morning is hard to beat.,"I’m found in socks, scarves, and mittens; and often in the paws of playful kittens. What am I? Yarn.",What do you call a fly without wings? A walk.,"Have you ever noticed that anyone going slower than you is an idiot, and anyone going faster than you is a maniac?"
"I wanted to go on a diet, but I feel like I have way too much on my plate right now.","Knock knock.
Who's there?
Luke.
Luke who?
Luke through the peephole and find out!",I'm friends with all my furniture. We have a great couch-together.,Why was the computer cold? It left its Windows open.,"I used to have a job as a professional cricket player, but I was stumped.",What has to be given before it can be taken? A photograph.,Why do ducks have tail feathers? To cover their buttquacks.,Why does quicksand work slowly?
Why did the bicycle fall over? It was two-tired.,"Knock knock.
Who's there?
Icy.
Icy who?
Icy you in there!","I used to be a baker, but I couldn’t make enough dough.",Why did the bicycle fall over? Because it was two-tired.,I once heard a joke about an elevator. It had its ups and downs.,"I have branches, but no fruit, trunk, or leaves. What am I? A bank.",What did the duck say when it bought lipstick? Put it on my bill.,"Why do people pay to go up tall buildings, then put money in binoculars to look at things on the ground?"
What do you call a bear with no teeth? A gummy bear.,"Knock knock.
Who's there?
Needle.
Needle who?
Needle little help opening the door!",The shovel was a ground-breaking invention.,What do you call a bear with no teeth? A gummy bear.,I’m reading a book about glue. I can’t seem to put it down.,"What has cities, but no houses; forests, but no trees; and rivers, but no water? A map.",Why did the crab never share? Because he was shellfish.,Why do they put Braille dots on the keypad of the drive-up ATM?
Why don't some couples go to the gym? Because some relationships don’t work out.,"Knock knock.
Who's there?
Alex.
Alex who?
Alex-plain later, just open the door!",What’s orange and sounds like a parrot? A carrot.,Why don’t sharks like fast food? Because they can’t catch it.,I did a theatrical performance about puns. It was a play on words.,What’s black and white and red all over? A newspaper.,What’s a cat’s favorite color? Purrrple.,Why do we call it a TV 'set' when there’s only one?
Why did the coffee file a police report? It got mugged.,"Knock knock.
Who's there?
Justin.
Justin who?
Justin time for dinner!",I would avoid the sushi if I was you. It’s a little fishy.,How does a penguin build its house? Igloos it together.,My friend’s bakery burned down last night. Now his business is toast.,What can fill a room but takes up no space? Light.,What do you get when you cross a snake with a pie? A python.,Why does ‘dyslexia’ have to be such a hard word to spell?
"I used to hate facial hair, but then it grew on me.","Knock knock.
Who's there?
Wanda.
Wanda who?
Wanda you open the door already?",I can’t believe I got fired from the calendar factory. All I did was take a day off.,Why don’t seagulls fly over the bay? Because then they’d be bagels.,Did you hear about the cheese factory that exploded? There was nothing left but de-brie.,"The more you have of it, the less you see. What is it? Darkness.",What’s a frog’s favorite candy? Lollihops.,Why is it that the time of day with the slowest traffic is called 'rush hour'?
I'm reading a book on anti-gravity. It's impossible to put down!,"Knock knock.
Who's there?
Canoe.
Canoe who?
Canoe come out to play?","If you’re feeling cold, go stand in the corner—it’s 90 degrees!",How does a taco say grace? Lettuce pray.,"I got hit in the head with a can of soda, but it didn’t hurt because it was a soft drink.","If you drop me, I’m sure to crack, but give me a smile and I’ll always smile back. What am I? A mirror.",What do you call a cow with no legs? Ground beef.,Why is there a ‘D’ in 'fridge' but not in 'refrigerator'?
I only know 25 letters of the alphabet—I don’t know Y.,"Knock knock.
Who's there?
Howard.
Howard who?
Howard you like to open the door?","I lost my job at the bank on my very first day. A woman asked me to check her balance, so I pushed her over.",Why did the coffee file a police report? It got mugged.,My math teacher called me average. How mean!,"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost every person. What am I? Pencil lead.",Why are frogs so happy? Because they eat whatever bugs them.,Why do we wash bath towels? Aren’t we clean when we use them?
What’s orange and sounds like a parrot? A carrot.,"Knock knock.
Who's there?
Otto.
Otto who?
Otto know, but I’m knocking!",I used to work in a shoe recycling shop. It was sole-destroying.,What do you call an alligator in a vest? An investigator.,"I wanted to be a doctor, but I didn’t have the patients.","I’m not alive, but I can grow. I don’t have lungs, but I need air. What am I? Fire.",What’s a dog’s favorite instrument? A trombone.,"Have you ever noticed that if you rearrange the letters in 'mother-in-law,' it spells 'woman Hitler'?"
I told my wife she was drawing her eyebrows too high. She looked surprised.,"Knock knock.
Who's there?
Honeydew.
Honeydew who?
Honeydew you want to come out and play?",How does Moses make his coffee? Hebrews it.,How does a vampire start a letter? Tomb it may concern.,"I was going to tell a time-traveling joke, but you didn’t like it.",What has four eyes but can’t see? Mississippi.,How do you catch a squirrel? Climb up a tree and act like a nut.,"Why is it that when you're driving and looking for an address, you turn down the volume on the radio?"
Why did the tomato turn red? Because it saw the salad dressing.,"Knock knock.
Who's there?
Dozen.
Dozen who?
Dozen anyone want to let me in?","I used to run a bakery, but I couldn't make enough bread.",Why did the banana go to the doctor? It wasn’t peeling well.,"I used to work at a blanket factory, but it folded.",What can you catch but not throw? A cold.,Why don’t elephants use computers? Because they’re afraid of the mouse.,Why does the word 'lisp' have an 's' in it?
Why don't skeletons fight? They don't have the guts.,"Knock knock.
Who's there?
Spell.
Spell who?
Okay, W-H-O.",I'm on a whiskey diet. I've lost three days already.,How do you catch a squirrel? Climb a tree and act like a nut.,A book fell on my head. I only have my shelf to blame.,What invention lets you look right through a wall? A window.,What do you call a cow in an earthquake? A milkshake.,Why do they lock gas station bathrooms? Are they afraid someone will clean them?
What do you call a fish with no eyes? Fsh.,"Knock knock.
Who's there?
Scold.
Scold who?
Scold outside, let me in!",I don't play soccer because I enjoy the sport. I'm just doing it for kicks.,Why did the scarecrow win an award? He was outstanding in his field.,"I used to be a butcher, but I backed out of it.",What gets sharper the more you use it? Your brain.,Why did the bird go to the hospital? It needed tweetment.,"If you’re not supposed to drink and drive, why do bars have parking lots?"
Want to hear a joke about paper? Never mind—it's tearable.,"Knock knock.
Who's there?
Cash.
Cash who?
No thanks, I prefer peanuts!",I can't believe I got fired from the car wash. It was a clean job.,What do you call a fish with no eyes? Fsh.,"I was going to write a joke about an elevator, but it was just too uplifting.",What has ears but cannot hear? A cornfield.,What’s black and white and red all over? A sunburned penguin.,Why is it that we have a 'dining room' when most people eat in the kitchen?
Why don’t scientists trust atoms? Because they make up everything.,"Knock knock.
Who's there?
Robin.
Robin who?
Robin you, hand over the candy!",Why don’t skeletons go to parties? They have no body to dance with.,What’s brown and sticky? A stick.,The scarecrow got promoted because he was outstanding in his field.,"I’m an odd number. Take away a letter, and I become even. What number am I? Seven.",What do you get when you cross a sheep and a kangaroo? A woolly jumper.,Why do we call it a 'couch potato' when the potato is the only thing that's not sitting on the couch?
What did one wall say to the other? I'll meet you at the corner.,"Knock knock.
Who's there?
Rufus.
Rufus who?
Rufus the most important part of the house!",What do you call a can opener that doesn’t work? A can’t opener.,Why did the golfer bring extra pants? In case he got a hole in one.,The best way to communicate with a fish is to drop them a line.,"What has words, but never speaks? A book.",How does a penguin build its house? Igloos it together.,"Why do we have to clean things that are supposed to be dirty, like vacuum cleaners and trash cans?"
How do you make a tissue dance? You put a little boogie in it.,"Knock knock.
Who's there?
Gladys.
Gladys who?
Gladys the weekend, finally!",I’m reading a book about glue. I can’t put it down.,What did the buffalo say to his son when he left for college? Bison.,"I'm on a seafood diet. I see food, and I eat it.","I have keys but open no locks. I have space but no room. You can enter, but you can’t go outside. What am I? A keyboard.",Why did the giraffe get bad grades? Because it had its head in the clouds.,Why are there flotation devices under plane seats instead of parachutes?
What’s brown and sticky? A stick.,"Knock knock.
Who's there?
Teddy.
Teddy who?
Teddy or not, here I come!",I couldn’t figure out how to fasten my seatbelt. Then it clicked.,Why don’t you ever see elephants hiding in trees? Because they’re so good at it.,"I didn’t have time to go to the gym, so I ran around it twice.","What has a bed, but never sleeps, can run but never walks? A river.",Why don’t fish play basketball? They’re afraid of the net.,Why do we call it ‘getting your dog fixed’ if afterwards it doesn’t work anymore?
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.","Knock knock.
Who's there?
Wendy.
Wendy who?
Wendy you think you’ll open the door?","I’ve just written a song about tortillas. Well, it’s more of a rap.",Why do melons have weddings? Because they cantaloupe.,"The early bird gets the worm, but the second mouse gets the cheese.",What’s orange and sounds like a parrot? A carrot.,Why did the turtle cross the road? To get to the shell station.,"Why do we call it 'shipping' when it's transported by truck, and 'cargo' when it's transported by ship?"
Did you hear about the kidnapping at the playground? They woke up.,"Knock knock.
Who's there?
Brittany.
Brittany who?
Brittany spare change for a snack?","I’m thinking of going on an all-almond diet, but that’s just nuts.",What do you call cheese that isn’t yours? Nacho cheese.,What’s a skeleton’s least favorite room in the house? The living room.,I have teeth but can’t bite. What am I? A comb.,What do you get if you cross a chicken with a skunk? A fowl smell!,"Why is it that when people say they slept like a baby, they mean they slept well? Don’t babies wake up like every two hours?"
Why don’t skeletons ever go trick or treating? Because they have no body to go with.,"Knock knock.
Who's there?
Beets.
Beets who?
Beets me, I forgot the punchline!","Two antennas met on a roof, fell in love, and got married. The ceremony wasn’t much, but the reception was excellent.",How do you make holy water? You boil the hell out of it.,How do you organize a space party? You planet.,"What begins with T, ends with T, and has T in it? A teapot.",What do you get when you cross a dog with a calculator? A friend you can count on.,Why does the alarm clock go 'off' when it starts making noise?
Why do cows wear bells? Because their horns don’t work.,"Knock knock.
Who's there?
Will.
Will who?
Will you let me in or not?",I’m a big fan of whiteboards. They’re re-markable.,Why couldn’t the bicycle stand up by itself? It was two tired.,"I once told a joke about a pencil, but there was no point.",What can be caught but never thrown? A cold.,Why are cats bad storytellers? Because they only have one tail.,Why does the doctor leave the room when you change? They're going to see you naked anyway.
What do you call cheese that isn’t yours? Nacho cheese.,"Knock knock.
Who's there?
Luke.
Luke who?
Luke out, here I come!",I gave away all my dead batteries today. Free of charge.,How do you organize a space party? You planet.,I don’t play soccer because I enjoy it. I just do it for kicks.,"What has wheels and flies, but is not an airplane? A garbage truck.",Why do cows wear bells? Because their horns don’t work.,"Why are there no 'B batteries'? We’ve got A, C, and D, but no B!"
Why was the big cat disqualified from the race? Because it was a cheetah.,"Knock knock.
Who's there?
Ya.
Ya who?
No need to shout, it’s just a joke!","I used to be a doctor, but then I lost my patience.",Why don’t skeletons fight? They don’t have the guts.,I got fired from the orange juice factory because I couldn’t concentrate.,"I’m light as a feather, yet the world’s strongest man can’t hold me for much longer than a minute. What am I? Breath.",Why did the sheep go to the doctor? It felt baaaaaad.,Why do we drive on parkways and park on driveways?
I ordered a chicken and an egg from Amazon. I’ll let you know which comes first.,"Knock knock.
Who's there?
Salmon.
Salmon who?
Salmon else, open the door!","I used to be addicted to the hokey pokey, but I turned myself around.",How does a cow stay up to date? It reads the moos-paper.,"A perfectionist walked into a bar. Apparently, it wasn’t set high enough.","What starts with an E, ends with an E, but only has one letter in it? An envelope.",What did the buffalo say to his son when he left? Bison.,Why is 'phonetic' spelled the way it is?
What do you get when you cross a snowman and a vampire? Frostbite.,"Knock knock.
Who's there?
Razor.
Razor who?
Razor hands and give me a high five!","What’s the best thing about Switzerland? I don’t know, but the flag is a big plus.",Why did the mushroom go to the party? Because he was a fungi.,"I was going to tell a chemistry joke, but all the good ones Argon.",What can fill a room but doesn’t take up any space? Light.,What’s the difference between a fish and a piano? You can’t tuna fish.,"Why is it that when you close your eyes to sleep, time flies, but when you close your eyes during class, it crawls?"
How do you catch a squirrel? Climb up a tree and act like a nut.,"Knock knock.
Who's there?
Denise.
Denise who?
Denise a new doorbell, this one's broken!","I bought some shoes from a drug dealer. I don’t know what he laced them with, but I’ve been tripping all day.","What did the grape do when he got stepped on? Nothing, but he let out a little wine.",,What is so fragile that saying its name breaks it? Silence.,Why don’t ants get sick? Because they have tiny ant-bodies.,Why do we sing 'Take Me Out to the Ballgame' when we’re already there?
,,,How do you make a tissue dance? You put a little boogie in it.,,What has a neck but no head? A bottle.,,
